vd<,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,pH y FOS/TAC del biodigestor 050,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Fecha,Hora,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,,Fecha,Responsable,pH,FOS,TAC,FOS/TAC,V1,,V2,Hora,,,,,,,,,ST,SV,Cenizas,pH,Conductividad,FOS,TAC,FOS/TAC,protocolo
2022-08-28 00:00:00,,,7.77,1750.9999999999964,9800,0.17867346938775472,39.2,2.1999999999999957,41.4,,2022-10-05 00:00:00,,7.74,588.9999999999976,8375,0.07032835820895494,33.5,0.7999999999999972,34.3,,,,,,,,,,,,,,,,,,
2022-08-29 00:00:00,,,7.85,1335.9999999999966,9300,0.14365591397849425,37.2,1.6999999999999957,38.9,,2022-10-06 00:00:00,,7.8,920.9999999999965,8775,0.10495726495726455,35.1,1.1999999999999957,36.3,,,,,,,,,,,,,,,,,,
2022-08-30 00:00:00,,,7.89,920.9999999999965,8525,0.10803519061583536,34.1,1.1999999999999957,35.3,,2022-10-07 00:00:00,,7.7,838.0000000000011,8325,0.1006606606606608,33.3,1.1000000000000014,34.4,,,,,,,,,,,,,,,,,,
2022-08-31 00:00:00,,,7.85,921.0000000000024,9250,0.09956756756756782,37,1.2000000000000028,38.2,,2022-10-08 00:00:00,,7.88,671.9999999999989,8525,0.07882697947214062,34.1,0.8999999999999986,35,23:30hs,Jason,,,,,,,,,,,,,,,,
2022-09-01 00:00:00,,,7.87,920.9999999999965,8775,0.10495726495726455,35.1,1.1999999999999957,36.3,,2022-10-09 00:00:00,,7.85,1750.9999999999964,8275,0.21160120845921407,33.1,2.1999999999999957,35.3,,,,,,,,,,,,,,,,,,
2022-09-02 00:00:00,,,7.8,2580.999999999996,9550,0.27026178010471164,38.2,3.1999999999999957,41.4,,2022-10-10 00:00:00,,7.73,921.0000000000024,7875,0.11695238095238125,31.5,1.2000000000000028,32.7,,,,,,,,,,,,,,,,,,
2022-09-03 00:00:00,,,7.77,1086.9999999999989,8550,0.1271345029239765,34.2,1.3999999999999986,35.6,,2022-10-11 00:00:00,,7.76,755,8550,0.08830409356725147,34.2,1.0,35.2,,,,,,,,,,,,,,,,,,
2022-09-04 00:00:00,,,7.77,1170,9800,0.11938775510204082,39.2,1.5,40.7,,2022-10-12 00:00:00,,,-75,0,,,0.0,,,,,,,,,,,,,,,,,,,
2022-09-05 00:00:00,,,7.79,1087.0000000000045,8950,0.12145251396648095,35.8,1.4000000000000057,37.2,,2022-10-13 00:00:00,,7.8,920.9999999999965,8025,0.11476635514018647,32.1,1.1999999999999957,33.3,,,,,,,,,,,,,,,,,,
2022-09-06 00:00:00,,,7.87,1336.0000000000023,9375,0.14250666666666692,37.5,1.7000000000000028,39.2,,2022-10-14 00:00:00,,7.64,1170,8750,0.1337142857142857,35,1.5,36.5,,,,,,,,,,,,,,,,,,
