Fecha ingreso,Semana,Sustrato,Proveedor,Observaciones,Transportista,Cantidad sustrato,Lugar de descarga,N° remito,Patente,ST (%) Análisis Planta,Responsable,Columna1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
2024-06-18,25,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,16300.0,Playón,584,FEJ852/LJH045,0.3195,Gustavo,,,,,1.0
2024-06-18,25,Lactosa,Remotti S.A.,,Federico Fogliatto,17480.0,Buffer,585,AG001DB/MQK247,0.1251,Gustavo,,,,,1.0
2024-06-19,25,Lactosa,Remotti S.A.,,Federico Fogliatto,27860.0,Buffer,586,AG001MB/MAK247,0.1044,Agustin ,,,,,1.0
2024-06-20,25,Goma Vegetal,América Pampa Agroind.,,Mauro Traversaro,5420.0,Buffer,604,WTG 975,0.3995,Agustin ,,,,,18.0
2024-06-20,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28420.0,Buffer,603,NXX029/IED478,0.1314,Agustin ,,,,,-1.0
2024-06-20,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28560.0,Buffer,605,NXX029/IED478,0.132,Cristián,,,,,2.0
2024-06-21,25,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,22220.0,Playón,608,FEJ852/LJH045,0.3206,Agustin ,,,,,3.0
2024-06-21,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28720.0,Buffer,606,KKS989/JDF165,0.1311,Leonardo,,,,,-2.0
2024-06-21,25,Lactosa,Remotti S.A.,,Federico Fogliatto,28960.0,Buffer,607,AG001DB/JDF165,0.1299,Agustin ,,,,,1.0
2024-06-22,25,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,1160.0,Playón,609,,0.807,Agustin ,,,,,2.0
2024-06-25,26,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,4880.0,Playón,610,,0.9114,Leonardo,,,,,1.0
2024-06-25,26,Lactosa,Remotti S.A.,,Federico Fogliatto,28500.0,Buffer,611,AG001DB/JDF165,0.1268,Leonardo,,,,,1.0
2024-06-25,26,Lactosa,Remotti S.A.,,Federico Fogliatto,28060.0,Buffer,612,FEJ852/LJH045,0.1281,Leonardo,,,,,
2024-06-26,26,Contenido ruminal ,S.A. Imp. y Exp. de la Patagonia,,Murcia mariana,19880.0,Playón,614,FEJ852/LJH045,0.2332,Leonardo,,,,,1.0
2024-06-26,26,Lactosa,Remotti S.A.,,Federico Fogliatto,28280.0,Buffer,613,FEJ852/LJH045,0.126,Leonardo,,,,,1.0
2024-06-26,26,Lactosa,Remotti S.A.,,Federico Fogliatto,26100.0,Buffer,615,FEJ852/LJH045,0.1282,Leonardo,,,,,2.0
2024-06-27,26,"maiz, harina, premix",Maria Elena S.A.,,Maria Elena S.A.,420.0,Playón,617,,0.875,Agustin ,,,,,2.0
2024-06-27,26,Descarte de maiz,Maria Elena S.A.,,Maria Elena S.A.,800.0,Playón,601,,0.807,Agustin ,,,,,-16.0
2024-06-27,26,Maiz,Maria Elena S.A.,,Maria Elena S.A.,840.0,Playón,618,,0.8685,Agustin ,,,,,17.0
2024-06-27,26,Purin(padrillera) ,Mauro Traversaro,,Mauro Traversaro,4980.0,Buffer,621,WTG 975,0.1915,Agustin ,,,,,3.0
2024-06-27,26,Oleo de Margarina/purin(padrillera),Mauro Traversaro,,Mauro Traversaro,5000.0,Buffer,620,WTG 975,0.229,Agustin ,,,,,-1.0
2024-06-27,26,Purin(padrillera) ,Mauro Traversaro,,Mauro Traversaro,5080.0,Buffer,622,WTG 975,0.1495,Agustin ,,,,,2.0
2024-06-27,26,Lactosa,Remotti S.A.,,Federico Fogliatto,27260.0,Buffer,616,GDF812/KKS989,0.1223,Leonardo,,,,,-6.0
2024-06-27,26,Lactosa,Remotti S.A.,,Federico Fogliatto,27540.0,Buffer,619,KKS 989/HQK147,0.131,Agustin ,,,,,3.0
